id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,local_code
19308,KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,NA,US,US-CO,Aspen,yes,KASE,ASE,ASE
19314,KAST,medium_airport,Astoria Regional Airport,46.158000946,-123.878997803,15,NA,US,US-OR,Astoria,no,KAST,AST,AST
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,US,US-GA,Atlanta,yes,KATL,ATL,ATL
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,NA,US,US-SD,Watertown,yes,KATY,ATY,ATY
19321,KAUG,medium_airport,Augusta State Airport,44.3205986023,-69.7973022461,352,NA,US,US-ME,Augusta,yes,KAUG,AUG,AUG
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.1944999694824,-97.6698989868164,542,NA,US,US-TX,Austin,yes,KAUS,AUS,AUS
19326,KAUW,medium_airport,Wausau Downtown Airport,44.9262008667,-89.6266021729,1201,NA,US,US-WI,Wausau,no,KAUW,AUW,AUW
3387,KAVL,large_airport,Asheville Regional Airport,35.4361991882324,-82.5418014526367,2165,NA,US,US-NC,Asheville,yes,KAVL,AVL,AVL
3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.3385009766,-75.7233963013,962,NA,US,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,AVP
3389,KAXN,medium_airport,Chandler Field,45.8662986755,-95.3946990967,1425,NA,US,US-MN,Alexandria,no,KAXN,AXN,AXN
3390,KAZO,medium_airport,Kalamazoo Battle Creek International Airport,42.2349014282227,-85.5521011352539,874,NA,US,US-MI,Kalamazoo,yes,KAZO,AZO,AZO
3391,KBAB,large_airport,Beale Air Force Base,39.136100769,-121.43699646,113,NA,US,US-CA,Marysville,no,KBAB,BAB,BAB
3392,KBAD,large_airport,Barksdale Air Force Base,32.5018005371,-93.6626968384,166,NA,US,US-LA,Bossier City,no,KBAD,BAD,BAD
3393,KBAF,medium_airport,Westfield-Barnes Regional Airport,42.157799,-72.715599,271,NA,US,US-MA,Westfield/Springfield,no,KBAF,BAF,BAF
3394,KBAK,medium_airport,Columbus Municipal Airport,39.2619018555,-85.8963012695,656,NA,US,US-IN,Columbus,no,KBAK,CLU,BAK
19353,KBBD,medium_airport,Curtis Field,31.1793003082,-99.3238983154,1827,NA,US,US-TX,Brady,no,KBBD,BBD,BBD
19357,KBCE,medium_airport,Bryce Canyon Airport,37.706401825,-112.144996643,7590,NA,US,US-UT,Bryce Canyon,no,KBCE,BCE,BCE
3395,KBDE,medium_airport,Baudette International Airport,48.7284011841,-94.612197876,1086,NA,US,US-MN,Baudette,no,KBDE,BDE,BDE
3396,KBDL,large_airport,Bradley International Airport,41.9388999939,-72.6831970215,173,NA,US,US-CT,Hartford,yes,KBDL,BDL,BDL
3397,KBDR,medium_airport,Igor I Sikorsky Memorial Airport,41.163501739502,-73.1261978149414,9,NA,US,US-CT,Bridgeport,yes,KBDR,BDR,BDR
3398,KBED,medium_airport,Laurence G Hanscom Field,42.47000122,-71.28900146,133,NA,US,US-MA,Bedford,no,KBED,BED,BED
3399,KBFD,medium_airport,Bradford Regional Airport,41.8031005859375,-78.6400985717773,2143,NA,US,US-PA,Bradford,yes,KBFD,BFD,BFD
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,NA,US,US-NE,Scottsbluff,yes,KBFF,BFF,BFF
3401,KBFI,large_airport,Boeing Field King County International Airport,47.5299987792969,-122.302001953125,21,NA,US,US-WA,Seattle,yes,KBFI,BFI,BFI
3402,KBFL,medium_airport,Meadows Field,35.43360138,-119.0569992,510,NA,US,US-CA,Bakersfield,no,KBFL,BFL,BFL
3403,KBFM,medium_airport,Mobile Downtown Airport,30.6268005371,-88.0680999756,26,NA,US,US-AL,Mobile,no,KBFM,BFM,BFM
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,US,US-NY,Binghamton,yes,KBGM,BGM,BGM
3405,KBGR,large_airport,Bangor International Airport,44.8073997497559,-68.8281021118164,192,NA,US,US-ME,Bangor,yes,KBGR,BGR,BGR
19373,KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,NA,US,US-ME,Bar Harbor,yes,KBHB,BHB,BHB
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650,NA,US,US-AL,Birmingham,yes,KBHM,BHM,BHM
3407,KBIF,medium_airport,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,3946,NA,US,US-TX,Fort Bliss/El Paso,no,KBIF,BIF,BIF
19377,KBIH,medium_airport,Eastern Sierra Regional Airport,37.3731002808,-118.363998413,4124,NA,US,US-CA,Bishop,no,KBIH,BIH,BIH
3408,KBIL,large_airport,Billings Logan International Airport,45.8077011108398,-108.542999267578,3652,NA,US,US-MT,Billings,yes,KBIL,BIL,BIL
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.7727012634277,-100.746002197266,1661,NA,US,US-ND,Bismarck,yes,KBIS,BIS,BIS
3410,KBIX,medium_airport,Keesler Air Force Base,30.4104003906,-88.9244003296,33,NA,US,US-MS,Biloxi,no,KBIX,BIX,BIX
3411,KBJC,medium_airport,Rocky Mountain Metropolitan Airport,39.90879822,-105.1169968,5673,NA,US,US-CO,Denver,no,KBJC,BJC,BJC
19380,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391,NA,US,US-MN,Bemidji,no,KBJI,BJI,BJI
3412,KBKE,medium_airport,Baker City Municipal Airport,44.8372993469,-117.808998108,3373,NA,US,US-OR,Baker City,no,KBKE,BKE,BKE
3413,KBKF,medium_airport,Buckley Air Force Base,39.7016983032,-104.751998901,5662,NA,US,US-CO,Aurora,no,KBKF,BFK,BKF
3414,KBKL,medium_airport,Burke Lakefront Airport,41.5175018310547,-81.6832962036133,583,NA,US,US-OH,Cleveland,no,KBKL,BKL,BKL
3415,KBKW,medium_airport,Raleigh County Memorial Airport,37.7873001099,-81.1241989136,2504,NA,US,US-WV,Beckley,yes,KBKW,BKW,BKW
19387,KBLF,medium_airport,Mercer County Airport,37.2957992553711,-81.2077026367188,2857,NA,US,US-WV,Bluefield,yes,KBLF,BLF,BLF
19388,KBLH,medium_airport,Blythe Airport,33.6192016602,-114.717002869,399,NA,US,US-CA,Blythe,no,KBLH,BLH,BLH
3416,KBLI,medium_airport,Bellingham International Airport,48.7928009033203,-122.53800201416,170,NA,US,US-WA,Bellingham,yes,KBLI,BLI,BLI
3417,KBLV,large_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,NA,US,US-IL,Belleville,yes,KBLV,BLV,BLV
3418,KBMG,medium_airport,Monroe County Airport,39.1459999084473,-86.61669921875,846,NA,US,US-IN,Bloomington,no,KBMG,BMG,BMG
3419,KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871,NA,US,US-IL,Bloomington/Normal,yes,KBMI,BMI,BMI
3420,KBNA,large_airport,Nashville International Airport,36.1245002746582,-86.6781997680664,599,NA,US,US-TN,Nashville,yes,KBNA,BNA,BNA
19397,KBNO,medium_airport,Burns Municipal Airport,43.5918998718,-118.955001831,4148,NA,US,US-OR,Burns,no,KBNO,BNO,BNO
3421,KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,NA,US,US-ID,Boise,yes,KBOI,BOI,BOI
3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,NA,US,US-MA,Boston,yes,KBOS,BOS,BOS
19401,KBPI,medium_airport,Miley Memorial Field,42.58509827,-110.1110001,6990,NA,US,US-WY,Big Piney,no,KBPI,BPI,BPI
19402,KBPK,medium_airport,Ozark Regional Airport,36.3689002991,-92.4704971313,928,NA,US,US-AR,Mountain Home,no,KBPK,WMH,BPK
3423,KBPT,medium_airport,Southeast Texas Regional Airport,29.9507999420166,-94.0206985473633,15,NA,US,US-TX,Beaumont/Port Arthur,yes,KBPT,BPT,BPT
3424,KBQK,medium_airport,Brunswick Golden Isles Airport,31.2588005065918,-81.4664993286133,26,NA,US,US-GA,Brunswick,yes,KBQK,BQK,BQK
19406,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,1232,NA,US,US-MN,Brainerd,yes,KBRD,BRD,BRD
3425,KBRL,medium_airport,Southeast Iowa Regional Airport,40.7831993103027,-91.1255035400391,698,NA,US,US-IA,Burlington,yes,KBRL,BRL,BRL
3426,KBRO,medium_airport,Brownsville South Padre Island International Airport,25.9067993164062,-97.4259033203125,22,NA,US,US-TX,Brownsville,yes,KBRO,BRO,BRO
3427,KBTL,medium_airport,W K Kellogg Airport,42.3073005676,-85.2515029907,952,NA,US,US-MI,Battle Creek,no,KBTL,BTL,BTL
3428,KBTM,medium_airport,Bert Mooney Airport,45.9547996520996,-112.497001647949,5550,NA,US,US-MT,Butte,yes,KBTM,BTM,BTM
3429,KBTR,medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70,NA,US,US-LA,Baton Rouge,yes,KBTR,BTR,BTR
3430,KBTV,medium_airport,Burlington International Airport,44.4719009399,-73.1532974243,335,NA,US,US-VT,Burlington,yes,KBTV,BTV,BTV
3431,KBUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,728,NA,US,US-NY,Buffalo,yes,KBUF,BUF,BUF
3432,KBUR,medium_airport,Bob Hope Airport,34.2006988525391,-118.359001159668,778,NA,US,US-CA,Burbank,yes,KBUR,BUR,BUR
19417,KBVI,medium_airport,Beaver County Airport,40.7724990845,-80.3914031982,1253,NA,US,US-PA,Beaver Falls,no,KBVI,BFP,BVI
3433,KBVY,medium_airport,Beverly Municipal Airport,42.5842018127,-70.9164962769,107,NA,US,US-MA,Beverly,no,KBVY,BVY,BVY
3434,KBWG,medium_airport,Bowling Green Warren County Regional Airport,36.9645004272,-86.4197006226,547,NA,US,US-KY,Bowling Green,no,KBWG,BWG,BWG
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,NA,US,US-MD,Baltimore,yes,KBWI,BWI,BWI
3436,KBYH,medium_airport,Arkansas International Airport,35.9642982483,-89.9440002441,254,NA,US,US-AR,Blytheville,no,KBYH,BYH,BYH
19429,KBYI,medium_airport,Burley Municipal Airport,42.5425987244,-113.772003174,4150,NA,US,US-ID,Burley,no,KBYI,BYI,BYI
19430,KBYS,medium_airport,Bicycle Lake Army Air Field,35.2804985046,-116.629997253,2350,NA,US,US-CA,Fort Irwin/Barstow,no,KBYS,BYS,BYS
3437,KBZN,medium_airport,Gallatin Field,45.77750015,-111.1529999,4473,NA,US,US-MT,Bozeman,yes,KBZN,BZN,BZN
3438,KCAE,large_airport,Columbia Metropolitan Airport,33.9388008117676,-81.119499206543,236,NA,US,US-SC,Columbia,yes,KCAE,CAE,CAE
3439,KCAK,medium_airport,Akron Canton Regional Airport,40.9160995483398,-81.4421997070312,1228,NA,US,US-OH,Akron,yes,KCAK,CAK,CAK
3440,KCAR,medium_airport,Caribou Municipal Airport,46.8714981079,-68.0178985596,626,NA,US,US-ME,Caribou,no,KCAR,CAR,CAR
3441,KCBM,large_airport,Columbus Air Force Base,33.6437988281,-88.4438018799,219,NA,US,US-MS,Columbus,no,KCBM,CBM,CBM
19470,KCCY,medium_airport,Northeast Iowa Regional Airport,43.0726013184,-92.6108016968,1125,NA,US,US-IA,Charles City,no,KCCY,CCY,CCY
3442,KCDC,medium_airport,Cedar City Regional Airport,37.701000213623,-113.098999023438,5622,NA,US,US-UT,Cedar City,yes,KCDC,CDC,CDC
19474,KCDR,medium_airport,Chadron Municipal Airport,42.837600708,-103.095001221,3297,NA,US,US-NE,Chadron,no,KCDR,CDR,CDR
19475,KCDS,medium_airport,Childress Municipal Airport,34.4337997437,-100.288002014,1954,NA,US,US-TX,Childress,no,KCDS,CDS,CDS
3443,KCEC,medium_airport,Jack Mc Namara Field Airport,41.78020096,-124.2369995,61,NA,US,US-CA,Crescent City,yes,KCEC,CEC,CEC
3444,KCEF,medium_airport,Westover ARB/Metropolitan Airport,42.19400024,-72.53479767,241,NA,US,US-MA,Springfield/Chicopee,no,KCEF,CEF,CEF
3445,KCEW,medium_airport,Bob Sikes Airport,30.778799057,-86.522102356,213,NA,US,US-FL,Crestview,no,KCEW,CEW,CEW
3446,KCGF,medium_airport,Cuyahoga County Airport,41.5651016235,-81.4863967896,879,NA,US,US-OH,Cleveland,no,KCGF,CGF,CGF
3447,KCGI,medium_airport,Cape Girardeau Regional Airport,37.2252998352051,-89.57080078125,342,NA,US,US-MO,Cape Girardeau,yes,KCGI,CGI,CGI
3448,KCHA,large_airport,Lovell Field,35.0353012084961,-85.2037963867187,683,NA,US,US-TN,Chattanooga,yes,KCHA,CHA,CHA
3449,KCHO,medium_airport,Charlottesville Albemarle Airport,38.138599395752,-78.4529037475586,639,NA,US,US-VA,Charlottesville,yes,KCHO,CHO,CHO
3450,KCHS,large_airport,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,46,NA,US,US-SC,Charleston,yes,KCHS,CHS,CHS
3451,KCID,large_airport,The Eastern Iowa Airport,41.8847007751465,-91.7108001708984,869,NA,US,US-IA,Cedar Rapids,yes,KCID,CID,CID
3452,KCIU,medium_airport,Chippewa County International Airport,46.2508010864258,-84.4723968505859,800,NA,US,US-MI,Sault Ste Marie,yes,KCIU,CIU,CIU
3453,KCKB,medium_airport,North Central West Virginia Airport,39.2966003418,-80.2281036377,1217,NA,US,US-WV,Clarksburg,yes,KCKB,CKB,CKB
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,791,NA,US,US-OH,Cleveland,yes,KCLE,CLE,CLE
3455,KCLL,medium_airport,Easterwood Field,30.58860016,-96.36380005,320,NA,US,US-TX,College Station,yes,KCLL,CLL,CLL
3456,KCLM,medium_airport,William R Fairchild International Airport,48.1202011108398,-123.5,291,NA,US,US-WA,Port Angeles,yes,KCLM,CLM,CLM
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.9430999755859,748,NA,US,US-NC,Charlotte,yes,KCLT,CLT,CLT
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,NA,US,US-OH,Columbus,yes,KCMH,CMH,CMH
3459,KCMI,medium_airport,University of Illinois Willard Airport,40.03919983,-88.27809906,755,NA,US,US-IL,Champaign/Urbana,yes,KCMI,CMI,CMI
3460,KCMX,medium_airport,Houghton County Memorial Airport,47.168399810791,-88.4890975952149,1095,NA,US,US-MI,Hancock,yes,KCMX,CMX,CMX
3461,KCNM,medium_airport,Cavern City Air Terminal,32.3375015258789,-104.263000488281,3295,NA,US,US-NM,Carlsbad,yes,KCNM,CNM,CNM
19527,KCNU,medium_airport,Chanute Martin Johnson Airport,37.668800354,-95.4850997925,1002,NA,US,US-KS,Chanute,no,KCNU,CNU,CNU
19530,KCOD,medium_airport,Yellowstone Regional Airport,44.520198822,-109.024002075,5102,NA,US,US-WY,Cody,no,KCOD,COD,COD
19531,KCOE,medium_airport,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,2320,NA,US,US-ID,Coeur d'Alene,no,KCOE,COE,COE
3462,KCOF,medium_airport,Patrick Air Force Base,28.2348995209,-80.6100997925,8,NA,US,US-FL,Cocoa Beach,no,KCOF,COF,COF
19534,KCON,medium_airport,Concord Municipal Airport,43.20270157,-71.50229645,342,NA,US,US-NH,Concord,no,KCON,CON,CON
3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,NA,US,US-CO,Colorado Springs,yes,KCOS,COS,COS
3464,KCOU,medium_airport,Columbia Regional Airport,38.8180999755859,-92.219596862793,889,NA,US,US-MO,Columbia,yes,KCOU,COU,COU
3465,KCPR,medium_airport,Casper-Natrona County International Airport,42.908001,-106.463997,5350,NA,US,US-WY,Casper,yes,KCPR,CPR,CPR
19549,KCRE,medium_airport,Grand Strand Airport,33.8116989136,-78.7238998413,32,NA,US,US-SC,North Myrtle Beach,no,KCRE,CRE,CRE
19550,KCRG,medium_airport,Jacksonville Executive at Craig Airport,30.3362998962,-81.5143966675,41,NA,US,US-FL,Jacksonville,no,KCRG,CRG,CRG
3466,KCRP,large_airport,Corpus Christi International Airport,27.7703990936279,-97.5011978149414,44,NA,US,US-TX,Corpus Christi,yes,KCRP,CRP,CRP
19552,KCRQ,medium_airport,Mc Clellan-Palomar Airport,33.12829971,-117.2799988,331,NA,US,US-CA,Carlsbad,no,KCRQ,CLD,CRQ
3467,KCRW,large_airport,Yeager Airport,38.3731002807617,-81.5932006835937,981,NA,US,US-WV,Charleston,yes,KCRW,CRW,CRW
3468,KCSG,medium_airport,Columbus Metropolitan Airport,32.516300201416,-84.9389038085937,397,NA,US,US-GA,Columbus,yes,KCSG,CSG,CSG
3469,KCSV,medium_airport,Crossville Memorial Whitson Field,35.9513015747,-85.0849990845,1881,NA,US,US-TN,Crossville,no,KCSV,CSV,CSV
3470,KCTB,medium_airport,Cut Bank International Airport,48.6083984375,-112.375999451,3854,NA,US,US-MT,Cut Bank,no,KCTB,CTB,CTB
19564,KCUB,medium_airport,Jim Hamilton L.B. Owens Airport,33.970500946,-80.9952011108,193,NA,US,US-SC,Columbia,no,KCUB,CUB,CUB
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896,NA,US,US-KY,Cincinnati,yes,KCVG,CVG,CVG
3472,KCVO,medium_airport,Corvallis Municipal Airport,44.49720001,-123.2900009,250,NA,US,US-OR,Corvallis,no,KCVO,CVO,CVO
3473,KCVS,large_airport,Cannon Air Force Base,34.3828010559,-103.321998596,4295,NA,US,US-NM,Clovis,no,KCVS,CVS,CVS
19571,KCWA,medium_airport,Central Wisconsin Airport,44.7775993347,-89.6668014526,1277,NA,US,US-WI,Mosinee,no,KCWA,CWA,CWA
3475,KCXO,medium_airport,Conroe-North Houston Regional Airport,30.351801,-95.414497,245,NA,US,US-TX,Houston,no,KCXO,CXO,CXO
3476,KCYS,medium_airport,Cheyenne Regional Jerry Olson Field,41.15570068,-104.8119965,6159,NA,US,US-WY,Cheyenne,yes,KCYS,CYS,CYS
3477,KDAA,medium_airport,Davison Army Air Field,38.7150001526,-77.1809997559,73,NA,US,US-VA,Fort Belvoir,no,KDAA,DAA,DAA
3478,KDAB,large_airport,Daytona Beach International Airport,29.179899,-81.058098,34,NA,US,US-FL,Daytona Beach,yes,KDAB,DAB,DAB
19615,KDAG,medium_airport,Barstow Daggett Airport,34.85369873,-116.7870026,1930,NA,US,US-CA,Daggett,no,KDAG,DAG,DAG
3479,KDAL,large_airport,Dallas Love Field,32.847099,-96.851799,487,NA,US,US-TX,Dallas,yes,KDAL,DAL,DAL
3480,KDAN,medium_airport,Danville Regional Airport,36.5728988647461,-79.3360977172852,571,NA,US,US-VA,Danville,no,KDAN,DAN,DAN
3481,KDAY,large_airport,James M Cox Dayton International Airport,39.902400970459,-84.2193984985352,1009,NA,US,US-OH,Dayton,yes,KDAY,DAY,DAY
3482,KDBQ,large_airport,Dubuque Regional Airport,42.40200043,-90.70950317,1077,NA,US,US-IA,Dubuque,yes,KDBQ,DBQ,DBQ
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,NA,US,US-DC,Washington,yes,KDCA,DCA,DCA
3484,KDDC,medium_airport,Dodge City Regional Airport,37.7634010314941,-99.9655990600586,2594,NA,US,US-KS,Dodge City,yes,KDDC,DDC,DDC
3485,KDEC,medium_airport,Decatur Airport,39.8345985412598,-88.8656997680664,682,NA,US,US-IL,Decatur,yes,KDEC,DEC,DEC
3486,KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,5431,NA,US,US-CO,Denver,yes,KDEN,DEN,DEN
3487,KDET,medium_airport,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,626,NA,US,US-MI,Detroit,no,KDET,DET,DET
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,NA,US,US-TX,Dallas-Fort Worth,yes,KDFW,DFW,DFW
3489,KDHN,medium_airport,Dothan Regional Airport,31.3213005065918,-85.4496002197266,401,NA,US,US-AL,Dothan,yes,KDHN,DHN,DHN
19628,KDHT,medium_airport,Dalhart Municipal Airport,36.0225982666,-102.54699707,3991,NA,US,US-TX,Dalhart,no,KDHT,DHT,DHT
19630,KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.7974014282,-102.802001953,2592,NA,US,US-ND,Dickinson,no,KDIK,DIK,DIK
3490,KDLF,large_airport,DLF Airport,29.359501,-100.778002,1082,NA,US,US-TX,Del Rio,no,KDLF,DLF,DLF
3491,KDLH,large_airport,Duluth International Airport,46.8420982361,-92.1936035156,1428,NA,US,US-MN,Duluth,yes,KDLH,DLH,DLH
19640,KDLS,medium_airport,Columbia Gorge Regional the Dalles Municipal Airport,45.6184997559,-121.166999817,247,NA,US,US-OR,The Dalles,no,KDLS,DLS,DLS
3492,KDMA,medium_airport,Davis Monthan Air Force Base,32.1665000916,-110.883003235,2704,NA,US,US-AZ,Tucson,no,KDMA,DMA,DMA
3493,KDMN,medium_airport,Deming Municipal Airport,32.262298584,-107.721000671,4314,NA,US,US-NM,Deming,no,KDMN,DMN,DMN
19644,KDNL,medium_airport,Daniel Field,33.4664993286,-82.0393981934,423,NA,US,US-GA,Augusta,no,KDNL,DNL,DNL
3494,KDOV,large_airport,Dover Air Force Base,39.12950134,-75.46600342,24,NA,US,US-DE,Dover,no,KDOV,DOV,DOV
19648,KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,759,NA,US,US-IL,Chicago/West Chicago,no,KDPA,DPA,DPA
19652,KDRA,medium_airport,Desert Rock Airport,36.6194,-116.032997,3314,NA,US,US-NV,Mercury,no,KDRA,DRA,NV65
3495,KDRI,medium_airport,Beauregard Regional Airport,30.8316993713,-93.3398971558,202,NA,US,US-LA,De Ridder,no,KDRI,DRI,DRI
19655,KDRT,medium_airport,Del Rio International Airport,29.3742008209,-100.927001953,1002,NA,US,US-TX,Del Rio,no,KDRT,DRT,DRT
3496,KDSM,large_airport,Des Moines International Airport,41.5340003967285,-93.6631011962891,958,NA,US,US-IA,Des Moines,yes,KDSM,DSM,DSM
